,Tweets
30,"प्रेम में डूबी हर स्त्री अमृता होती है या फिर होना चाहती है पर सबके हिस्से कोई इमरोज नहीं होता, शायद इसलिए भी कि इमरोज होना आसान नहीं।खासकर हमारी सामाजिक संरचना में एक पुरुष के लिए यह अच्छा खासा मुश्किल काम है कि किसी ऐसी स्त्री से से प्रेम करना और उस प्रेम में बंधकर जिन्दगी… Show more"
31,"हे दाता 
हमको शक्ति दो
दुःखों को झेल पाने की 

हे दाता 
हमकों बल दो 
लोगों से नहीं 
रोगों से लड़ने के लिए 

दो हमको शक्ति
इस सुगंधित दुनिया को सूँघने की 
दो हमको उड़ानें 
ये सारी दुनिया घूमने की 

हे दाता
अहंकार मत देना 
देना ही है तो 
संस्कार देना

हे दाता 
घर के चादरों जितने… Show more"
32,"जिस UPSC aspirant का सिलेक्शन नहीं हुआ है, उसे आप किन पंक्तियों से मोटिवेट करेंगे ?"
33,जुड़िए पुस्तक प्रेमियों के व्हाट्सएप ग्रुप से : https://chat.whatsapp.com/Cl9Xdn7bhP5LsPExvzifmI…
34,"पहाड़ों की कंदराओं में बैठकर तप कर लेना सहज है, किन्तु परिवार में रहकर धीरज बनाये रखना सबके वश की बात नहीं।

प्रेमचंद "
35,150+ members  
36,"कहा जाता है प्यार की कोई उम्र नहीं होती है। प्यार तो सिर्फ प्यार होता है, जिसमें एक दूसरे की आँखों में तमाम उम्र के लिए खो जाने को जी करता हो, जिसे हर समय अपने दिल के करीब महसूस किया जा सके।

ऐसे प्यार के अलावा भी कुछ प्यार होते है जिनकी कहानियाँ कभी अधूरी नहीं होती। चे ग्वेरा,… Show more"
37,"तुम्हारा मिलना
जैसे किसी बच्चे को
उसका मनपसन्द खिलौना मिल जाना

जैसे बारिश के बाद
मिट्टी की सौंधी खुशबू

जैसे शरद पूर्णिमा के 
अमृतमयी चांद का दिख जाना

जैसे किसी नवविवाहिता के
मांग पर सुर्ख सिंदूर

जैसे किसी किशोरी को
उसके प्रेमी का पहला स्पर्श 
महसूस होना

जैसे अमावस की रात… Show more"
38,[4]
39,"मैं उस माटी का वृक्ष नहीं
जिसको नदियों ने सींचा है
बंजर माटी में पलकर मैंने
मृत्यु से जीवन खींचा है..

- आरडी तैलंग"
40,"हिन्दी पंक्तियाँ की नयी पहल पंक्ति प्रकाशन की चारों किताबें की बुकिंग हम इस सप्ताह शुरु कर रहे हैं, आपमें से जो भी पाठक इच्छुक है कृपया वोट करें।  "
41,"निर्धन गिरे पहाड़ से कोई न पूछे हाल
धनी को कांटा लगे पूछे लोग हज़ार।"
42,ये थ्रेड पढ़िए 
43,"एक दिन वर्षों का संघर्ष, बहुत खूबसूरत तरीके से तुमसे टकरायेगा।

- सिग्मंड फ्रायड"
44,ये सुनिए 
45,"जुदाई के क्षणों में ही किया जा सकता है महसूस, सबसे ज्यादा प्रेम।"
46,सभी के लिए 
47,Happy Mothers day 
48,"गिरते हैं शहसवार (घुड़सवार) ही मैदान-ए-जंग में, 
वो तिफ़्ल (शिशु) क्या गिरे जो घुटनों के बल चले।

- अज्ञात"
49,Poster : @Abhivykti__arts
50,"पारले जी ने 25 सालों तक अपनी कीमत नहीं बदली थी। 

वर्ष 1994 में शुरू हुए पारले जी के एक छोटे पैकेट की कीमत ₹4 थी और यह 2021 तक बनी रही, उसके बाद इसमें एक रुपये की बढ़ोतरी की गई। आज तक, एक छोटे पैकेट की कीमत ₹5 है। कभी सोचा है कि ऐसा कैसे संभव है? 

कई ऑपरेशन सुधारों के साथ-साथ,… Show more"
51,टूटी हुई चीजें...
52,"एक लड़की है जो
किसी से नहीं कहती अपनी बातें
जब मुश्किल में होती है तो रोक लेती है अपने आँसू 
जब आता है उसके सामने एक लड़का तो 
निकल आते हैं लड़की की आंख से आँसू 
वो रोती है बिना कुछ बताए और 
लड़का उसे सहलाता है बिना कुछ पूछें।

वो लड़का भी किसी से नहीं कहता अपनी बातें
जब मुश्किल… Show more"
53,आपका क्या कहना है इन पंक्तियों पर ?
54,"इनमें से कौन-कौन सी किताबें खरीदना चाहते हैं?

नदियाँ नहीं रुकती (कविता संग्रह)
दूर आसमान में (उपन्यास)
कुढ़न (कविता संग्रह)
बोनसाई (कविता संग्रह)

कमेंट में बताएं, हो सकता है आपके लिए कुछ लकी ऑफर हो हमारे पास "
